MXene,Sc,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,C,N,F,H,O,OH,NULL,Li,Na,K,Mg,Voltage(V),Theoretical_capacity (mAh/g),Induced_Z_charge(mAh/g),In-plane lattice,In-plane lattice(intercalated)
Sc2C,1,,,,,,,,,1,,,,,,1,1,,,,0.29,462,0.805,3.312,3.331
Sc2N,1,,,,,,,,,,1,,,,,1,1,,,,0.35,454,0.792,3.19,3.217
Sc2CH2,1,,,,,,,,,1,,,1,,,,1,,,,-0.3,454,0.818,3.28,3.281
Sc2NH2,1,,,,,,,,,,1,,1,,,,1,,,,-0.29,447,0.812,3.185,3.196
Ti2C,,1,,,,,,,,1,,,,,,1,1,,,,0.44,440,0.769,3.082,3.115
Ti2N,,1,,,,,,,,,1,,,,,1,1,,,,0.51,433,0.761,2.988,3.028
Ti2CH2,,1,,,,,,,,1,,,1,,,,1,,,,-0.11,433,0.778,3.037,3.068
Ti2NH2,,1,,,,,,,,,1,,1,,,,1,,,,-0.03,426,0.769,2.988,3.014
V2C,,,1,,,,,,,1,,,,,,1,1,,,,0.47,419,0.75,2.897,2.97
V2N,,,1,,,,,,,,1,,,,,1,1,,,,0.47,413,0.746,2.92,2.926
V2CH2,,,1,,,,,,,1,,,1,,,,1,,,,0.2,413,0.74,2.877,2.941
Cr2C,,,,1,,,,,,1,,,,,,1,1,,,,0.55,412,0.739,2.828,2.966
V2NH2,,,1,,,,,,,,1,,1,,,,1,,,,0.22,406,0.729,2.756,2.91
Cr2N,,,,1,,,,,,,1,,,,,1,1,,,,0.61,406,0.743,2.675,2.946
Cr2CH2,,,,1,,,,,,1,,,1,,,,1,,,,0.35,406,0.708,2.872,2.87
Cr2NH2,,,,1,,,,,,,1,,1,,,,1,,,,0.25,400,0.702,2.867,2.839
Sc2CO2,1,,,,,,,,,1,,,,1,,,1,,,,1.89,362,0.662,3.214,3.203
Sc2NO2,1,,,,,,,,,,1,,,1,,,1,,,,1.76,357,0.704,3.238,3.115
Sc2COH,1,,,,,,,,,1,,,,,1,,1,,,,-0.43,357,0.837,3.287,3.263
Sc2NOH,1,,,,,,,,,,1,,,,1,,1,,,,-0.29,353,0.822,3.207,3.201
Ti2CO2,,1,,,,,,,,1,,,,1,,,1,,,,1.22,349,0.647,3.032,3.018
Sc2CF2,1,,,,,,,,,1,,1,,,,,1,,,,-0.51,348,0.845,3.263,3.248
Ti2NO2,,1,,,,,,,,,1,,,1,,,1,,,,1.08,344,0.667,3.003,3.001
Ti2COH,,1,,,,,,,,1,,,,,1,,1,,,,-0.33,344,0.808,3.073,3.068
Sc2NF2,1,,,,,,,,,,1,1,,,,,1,,,,-0.59,344,0.845,3.184,3.175
Ti2NOH,,1,,,,,,,,,1,,,,1,,1,,,,-0.3,340,0.806,3.063,3.062
V2CO2,,,1,,,,,,,1,,,,1,,,1,,,,1.43,335,0.626,2.895,2.964
Ti2CF2,,1,,,,,,,,1,,1,,,,,1,,,,0.12,335,0.62,3.054,3.066
V2NO2,,,1,,,,,,,,1,,,1,,,1,,,,1.25,331,0.649,2.905,2.995
V2COH,,,1,,,,,,,1,,,,,1,,1,,,,-0.33,331,0.795,3,2.994
Ti2NF2,,1,,,,,,,,,1,1,,,,,1,,,,0.23,331,0.613,3.062,3.054
Cr2CO2,,,,1,,,,,,1,,,,1,,,1,,,,1.45,331,0.578,2.899,3.014
